Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
user register positive cases,Chrome 100.0.4896.127,,,2022-04-30 13:03:22,2022-04-30 13:05:00,1m - 37.904s,PASSED
,,,,,,,
Test Cases/test cases/positive test cases/TC05-as a user i can go to login page if already have account,Chrome 100.0.4896.127,,,2022-04-30 13:03:29,2022-04-30 13:03:37,8.355s,PASSED
Start setup action : setupTestCase,Chrome 100.0.4896.127,,,2022-04-30 13:03:29,2022-04-30 13:03:29,0.003s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-04-30 13:03:29,2022-04-30 13:03:29,0.002s,PASSED
"callTestCase(findTestCase(""Test Cases/pages/register new user account""), [""isLogin"":isLogin], STOP_ON_FAILURE)",Chrome 100.0.4896.127,input email and name with valid value,,2022-04-30 13:03:29,2022-04-30 13:03:36,6.444s,PASSED
scenario.each({ java.lang.Object value -> ... }),Chrome 100.0.4896.127,verify user redirected to login page,,2022-04-30 13:03:36,2022-04-30 13:03:37,1.031s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-04-30 13:03:37,2022-04-30 13:03:37,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 100.0.4896.127,,,2022-04-30 13:03:37,2022-04-30 13:03:37,0.555s,PASSED
,,,,,,,
Test Cases/test cases/positive test cases/TC02-as a user i can register with apple id,Chrome 100.0.4896.127,,,2022-04-30 13:03:37,2022-04-30 13:03:43,5.586s,PASSED
Start setup action : setupTestCase,Chrome 100.0.4896.127,,,2022-04-30 13:03:37,2022-04-30 13:03:37,0.002s,PASSED
if (individualRun),Chrome 100.0.4896.127,,,2022-04-30 13:03:38,2022-04-30 13:03:38,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/pages/register new user account""), [""accountType"":accountType], STOP_ON_FAILURE)",Chrome 100.0.4896.127,click button register with apple id,,2022-04-30 13:03:38,2022-04-30 13:03:42,4.826s,PASSED
"callTestCase(findTestCase(""Test Cases/pages/assertion register page""), [""scenario"":scenario, ""expectedURL"":expectedURL], STOP_ON_FAILURE)",Chrome 100.0.4896.127,verify user redirected to apple id login page,,2022-04-30 13:03:42,2022-04-30 13:03:42,0.095s,PASSED
